,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,7590-VHVEG,Female,0,1,0,1,0,No phone service,DSL,No,1,0,0,0,0,Month-to-month,1,Electronic check,29.85,29.85,0
1,5575-GNVDE,Male,0,0,0,34,1,No,DSL,Yes,0,1,0,0,0,One year,0,Mailed check,56.95,1889.5,0
2,3668-QPYBK,Male,0,0,0,2,1,No,DSL,Yes,1,0,0,0,0,Month-to-month,1,Mailed check,53.85,108.15,1
3,7795-CFOCW,Male,0,0,0,45,0,No phone service,DSL,Yes,0,1,1,0,0,One year,0,Bank transfer (automatic),42.3,1840.75,0
4,9237-HQITU,Female,0,0,0,2,1,No,Fiber optic,No,0,0,0,0,0,Month-to-month,1,Electronic check,70.7,151.65,1
5,9305-CDSKC,Female,0,0,0,8,1,Yes,Fiber optic,No,0,1,0,1,1,Month-to-month,1,Electronic check,99.65,820.5,1
6,1452-KIOVK,Male,0,0,1,22,1,Yes,Fiber optic,No,1,0,0,1,0,Month-to-month,1,Credit card (automatic),89.1,1949.4,0
7,6713-OKOMC,Female,0,0,0,10,0,No phone service,DSL,Yes,0,0,0,0,0,Month-to-month,0,Mailed check,29.75,301.9,0
8,7892-POOKP,Female,0,1,0,28,1,Yes,Fiber optic,No,0,1,1,1,1,Month-to-month,1,Electronic check,104.8,3046.05,1
9,6388-TABGU,Male,0,0,1,62,1,No,DSL,Yes,1,0,0,0,0,One year,0,Bank transfer (automatic),56.15,3487.95,0
10,9763-GRSKD,Male,0,1,1,13,1,No,DSL,Yes,0,0,0,0,0,Month-to-month,1,Mailed check,49.95,587.45,0
11,7469-LKBCI,Male,0,0,0,16,1,No,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),18.95,326.8,0
12,8091-TTVAX,Male,0,1,0,58,1,Yes,Fiber optic,No,0,1,0,1,1,One year,0,Credit card (automatic),100.35,5681.1,0
13,0280-XJGEX,Male,0,0,0,49,1,Yes,Fiber optic,No,1,1,0,1,1,Month-to-month,1,Bank transfer (automatic),103.7,5036.3,1
14,5129-JLPIS,Male,0,0,0,25,1,No,Fiber optic,Yes,0,1,1,1,1,Month-to-month,1,Electronic check,105.5,2686.05,0
15,3655-SNQYZ,Female,0,1,1,69,1,Yes,Fiber optic,Yes,1,1,1,1,1,Two year,0,Credit card (automatic),113.25,7895.15,0
16,8191-XWSZG,Female,0,0,0,52,1,No,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.65,1022.95,0
17,9959-WOFKT,Male,0,0,1,71,1,Yes,Fiber optic,Yes,0,1,0,1,1,Two year,0,Bank transfer (automatic),106.7,7382.25,0
18,4190-MFLUW,Female,0,1,1,10,1,No,DSL,No,0,1,1,0,0,Month-to-month,0,Credit card (automatic),55.2,528.35,1
19,4183-MYFRB,Female,0,0,0,21,1,No,Fiber optic,No,1,1,0,0,1,Month-to-month,1,Electronic check,90.05,1862.9,0
