unit,sizen_r2,indic_is,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 
PC_ENT,10_C10_18,E_AEBEU,AT	: 	: 	: 	: 	: 	: 	34 	: 	12 
PC_ENT,10_C10_18,E_AEBEU,BE	: 	: 	: 	: 	: 	: 	18 	: 	: u
PC_ENT,10_C10_18,E_AEBEU,BG	2 	: 	3 	: 	1 	: 	1 	: 	1 
PC_ENT,10_C10_18,E_AEBEU,CY	9 	: 	18 	: 	9 	: 	16 	: 	21 
PC_ENT,10_C10_18,E_AEBEU,CZ	20 	: 	15 	: 	13 	: 	11 	: 	5 
PC_ENT,10_C10_18,E_AEBEU,DE	: 	: 	5 	: 	6 	: 	14 	: 	5 
PC_ENT,10_C10_18,E_AEBEU,DK	: 	: 	: 	: 	: 	: 	32 	: 	23 
PC_ENT,10_C10_18,E_AEBEU,EA	: 	: 	10 	: 	9 	: 	8 	: 	6 
PC_ENT,10_C10_18,E_AEBEU,EE	11 	: 	3 	: 	5 	: 	3 	: 	6 
PC_ENT,10_C10_18,E_AEBEU,EL	2 	: 	9 	: 	: u	: 	4 	: 	: u
PC_ENT,10_C10_18,E_AEBEU,ES	7 	: 	5 	: 	5 	: 	5 	: 	3 
PC_ENT,10_C10_18,E_AEBEU,EU15	: 	: 	: 	: 	9 	: 	9 	: 	6 
PC_ENT,10_C10_18,E_AEBEU,EU25	: 	: 	: 	: 	: 	: 	: 	: 	6 
PC_ENT,10_C10_18,E_AEBEU,EU27	: 	: 	8 	: 	8 	: 	8 	: 	5 
PC_ENT,10_C10_18,E_AEBEU,EU28	: 	: 	8 	: 	8 	: 	8 	: 	5 
PC_ENT,10_C10_18,E_AEBEU,FI	: 	: 	23 	: 	: 	: 	13 	: 	: u
PC_ENT,10_C10_18,E_AEBEU,FR	: 	: 	: 	: 	5 	: 	6 	: 	4 
PC_ENT,10_C10_18,E_AEBEU,HR	3 	: 	4 	: 	: 	: 	11 	: 	9 
PC_ENT,10_C10_18,E_AEBEU,HU	4 	: 	6 	: 	6 	: 	5 	: 	3 
PC_ENT,10_C10_18,E_AEBEU,IE	: 	: 	26 	: 	19 	: 	13 	: 	21 
PC_ENT,10_C10_18,E_AEBEU,IT	21 	: 	14 	: 	: u	: 	6 	: 	8 
PC_ENT,10_C10_18,E_AEBEU,LT	: 	: 	: 	: 	6 	: 	13 	: 	9 
PC_ENT,10_C10_18,E_AEBEU,LU	23 	: 	19 	: 	36 	: 	29 	: 	21 
PC_ENT,10_C10_18,E_AEBEU,LV	14 	: 	12 	: 	5 	: 	5 	: 	2 
PC_ENT,10_C10_18,E_AEBEU,MK	: 	: 	1 	: 	3 	: 	: u	: 	: 
PC_ENT,10_C10_18,E_AEBEU,MT	: 	: 	: 	: 	: 	: 	14 	: 	5 
PC_ENT,10_C10_18,E_AEBEU,NL	16 	: 	14 b	: 	12 	: 	6 	: 	18 
PC_ENT,10_C10_18,E_AEBEU,NO	7 	: 	6 	: 	5 	: 	10 	: 	12 
PC_ENT,10_C10_18,E_AEBEU,PL	3 	: 	2 	: 	: u	: 	: u	: 	2 
PC_ENT,10_C10_18,E_AEBEU,PT	9 	: 	8 	: 	7 	: 	: u	: 	: u
PC_ENT,10_C10_18,E_AEBEU,RO	0 n	: 	: 	: 	: 	: 	1 	: 	1 
PC_ENT,10_C10_18,E_AEBEU,SE	5 	: 	: 	: 	: 	: 	10 	: 	6 
PC_ENT,10_C10_18,E_AEBEU,SI	: 	: 	2 	: 	8 	: 	11 	: 	4 
PC_ENT,10_C10_18,E_AEBEU,SK	2 	: 	8 	: 	10 	: 	4 	: 	4 
PC_ENT,10_C10_18,E_AEBEU,UK	: 	: 	: 	: 	: 	: 	13 	: 	6 
PC_ENT,10_C10_18,E_AEBEUWW,AT	: 	: 	: 	: 	: 	: 	4 	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,BE	: 	: 	: 	: 	: 	: 	4 	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,BG	0 n	: 	: 	: 	: 	: 	: u	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,CY	3 	: 	: 	: 	: 	: 	5 	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,CZ	6 	: 	: 	: 	: 	: 	2 	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,DE	: 	: 	: 	: 	: 	: 	4 	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,DK	: 	: 	: 	: 	: 	: 	12 	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,EA	: 	: 	: 	: 	: 	: 	3 	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,EE	3 	: 	: 	: 	: 	: 	1 	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,EL	1 	: 	: 	: 	: 	: 	2 	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,ES	3 	: 	: 	: 	: 	: 	2 	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,EU15	: 	: 	: 	: 	: 	: 	3 	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,EU27	: 	: 	: 	: 	: 	: 	3 	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,EU28	: 	: 	: 	: 	: 	: 	3 	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,FI	: 	: 	: 	: 	: 	: 	7 	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,FR	: 	: 	: 	: 	: 	: 	2 	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,HR	1 	: 	: 	: 	: 	: 	5 	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,HU	2 	: 	: 	: 	: 	: 	1 	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,IE	: 	: 	: 	: 	: 	: 	13 	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,IT	6 	: 	: 	: 	: 	: 	3 	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,LT	: 	: 	: 	: 	: 	: 	5 	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,LU	7 	: 	: 	: 	: 	: 	2 	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,LV	5 	: 	: 	: 	: 	: 	0 	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,MK	: 	: 	: 	: 	: 	: 	: u	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,MT	: 	: 	: 	: 	: 	: 	8 	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,NL	4 	: 	: 	: 	: 	: 	3 	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,NO	2 	: 	: 	: 	: 	: 	3 	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,PL	1 	: 	: 	: 	: 	: 	: u	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,PT	2 	: 	: 	: 	: 	: 	: u	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,RO	0 n	: 	: 	: 	: 	: 	0 n	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,SE	2 	: 	: 	: 	: 	: 	7 	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,SI	: 	: 	: 	: 	: 	: 	3 	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,SK	1 	: 	: 	: 	: 	: 	0 n	: 	: 
PC_ENT,10_C10_18,E_AEBEUWW,UK	: 	: 	: 	: 	: 	: 	7 	: 	: 
PC_ENT,10_C10_18,E_AEBHM,AT	: 	: 	: 	: 	: 	: 	47 	: 	20 
PC_ENT,10_C10_18,E_AEBHM,BE	: 	: 	: 	: 	: 	: 	28 	: 	: u
PC_ENT,10_C10_18,E_AEBHM,BG	3 	: 	7 	: 	4 	: 	3 	: 	2 
PC_ENT,10_C10_18,E_AEBHM,CY	4 	: 	4 	: 	3 	: 	6 	: 	3 
PC_ENT,10_C10_18,E_AEBHM,CZ	50 	: 	47 	: 	37 	: 	30 	: 	16 
