update,free,available,total
2018-02-20 05:27:07,2822,2564,5437
2018-02-20 05:41:52,2821,2565,5437
2018-02-20 05:56:30,2819,2567,5437
2018-02-20 06:11:17,2742,2545,5337
2018-02-20 06:12:18,77,22,100
2018-02-20 06:26:48,2849,2533,5437
2018-02-20 06:42:17,2824,2555,5437
2018-02-20 06:56:44,2829,2566,5437
2018-02-20 07:12:19,2847,2548,5437
2018-02-20 07:26:46,2870,2522,5437
2018-02-20 07:42:14,2964,2420,5437
2018-02-20 07:56:58,3107,2271,5437
2018-02-20 08:11:49,2994,2391,5437
2018-02-20 08:26:34,3014,2363,5437
2018-02-20 08:41:52,3030,2342,5437
2018-02-20 08:57:11,3047,2329,5437
2018-02-20 09:11:28,3043,2331,5437
2018-02-20 09:26:46,2993,2390,5437
2018-02-20 09:42:04,3003,2379,5437
2018-02-20 09:57:20,2999,2380,5437
2018-02-20 10:11:39,2974,2403,5437
2018-02-20 10:26:56,2968,2408,5437
2018-02-20 10:42:15,2958,2416,5437
2018-02-20 10:57:33,2945,2415,5437
2018-02-20 11:11:49,2962,2400,5437
2018-02-20 11:27:07,2973,2399,5437
2018-02-20 11:42:29,2995,2385,5437
2018-02-20 11:56:49,3011,2361,5437
2018-02-20 12:12:07,3025,2338,5437
2018-02-20 12:27:24,3011,2363,5437
2018-02-20 12:42:42,2983,2388,5437
2018-02-20 12:57:00,3020,2364,5437
2018-02-20 13:12:23,3043,2343,5437
2018-02-20 13:27:41,3041,2344,5437
2018-02-20 13:41:58,3066,2320,5437
2018-02-20 13:57:16,3035,2351,5437
2018-02-20 14:12:35,3128,2257,5437
2018-02-20 14:26:52,3114,2270,5437
2018-02-20 14:42:09,3135,2250,5437
2018-02-20 14:57:27,3110,2277,5437
2018-02-20 15:12:47,3123,2265,5437
2018-02-20 15:27:03,3058,2331,5437
2018-02-20 15:42:20,3054,2335,5437
2018-02-20 15:57:37,3031,2359,5437
2018-02-20 16:12:53,3000,2393,5437
2018-02-20 16:27:09,2992,2403,5437
2018-02-20 16:42:26,3018,2371,5437
2018-02-20 16:57:46,3038,2353,5437
2018-02-20 17:12:01,2660,2172,4871
2018-02-20 17:13:02,388,171,566
2018-02-20 17:27:18,3047,2343,5437
2018-02-20 17:42:34,3078,2308,5437
2018-02-20 17:57:51,3048,2340,5437
2018-02-20 18:12:07,3062,2326,5437
2018-02-20 18:27:23,3066,2324,5437
2018-02-20 18:42:41,3051,2342,5437
2018-02-20 18:57:57,3065,2331,5437
2018-02-20 19:12:17,3110,2286,5437
2018-02-20 19:27:34,3088,2309,5437
2018-02-20 19:42:51,3092,2303,5437
2018-02-20 19:58:08,3036,2361,5437
2018-02-20 20:12:29,3057,2339,5437
2018-02-20 20:27:49,3023,2373,5437
2018-02-20 20:43:07,3024,2373,5437
2018-02-20 20:57:24,3004,2391,5437
2018-02-20 21:12:41,2981,2418,5437
2018-02-20 21:27:58,2950,2449,5437
2018-02-20 21:43:15,2936,2462,5437
2018-02-20 21:57:30,2920,2478,5437
2018-02-20 22:13:01,2888,2509,5437
2018-02-20 22:28:18,2886,2512,5437
2018-02-20 22:42:34,2888,2511,5437
2018-02-20 22:57:50,2880,2520,5437
2018-02-20 23:13:07,2876,2525,5437
2018-02-20 23:28:22,2861,2540,5437
2018-02-20 23:42:36,2866,2536,5437
2018-02-20 23:57:52,2864,2535,5437
2018-02-21 00:13:21,2880,2522,5437
2018-02-21 00:27:39,2855,2547,5437
2018-02-21 00:42:56,2848,2554,5437
2018-02-21 00:58:15,2843,2558,5437
2018-02-21 01:13:32,2852,2551,5437
2018-02-21 01:27:49,2834,2569,5437
2018-02-21 01:43:11,2833,2570,5437
2018-02-21 01:58:29,2830,2573,5437
2018-02-21 02:12:46,2838,2564,5437
2018-02-21 02:28:04,2828,2574,5437
2018-02-21 02:43:21,2829,2573,5437
2018-02-21 02:58:38,2831,2571,5437
2018-02-21 03:12:55,2833,2569,5437
2018-02-21 03:28:12,2828,2574,5437
2018-02-21 03:43:29,2828,2574,5437
2018-02-21 03:57:45,2825,2577,5437
2018-02-21 04:13:02,2829,2574,5437
2018-02-21 04:28:19,2827,2576,5437
2018-02-21 04:43:38,2825,2578,5437
2018-02-21 04:57:54,2828,2575,5437
2018-02-21 05:13:11,2831,2572,5437
2018-02-21 05:28:28,2831,2572,5437
2018-02-21 05:43:44,2831,2580,5437
2018-02-21 05:57:59,2830,2581,5437
2018-02-21 06:13:29,2835,2576,5437
2018-02-21 06:28:46,2852,2559,5437
2018-02-21 06:43:01,2869,2540,5437
2018-02-21 06:58:18,2833,2576,5437
2018-02-21 07:13:34,2851,2537,5437
2018-02-21 07:28:51,2882,2517,5437
2018-02-21 07:43:06,2989,2409,5437
2018-02-21 07:58:23,3072,2321,5437
2018-02-21 08:13:43,2974,2427,5437
2018-02-21 08:29:01,2987,2415,5437
2018-02-21 08:43:19,3059,2341,5437
2018-02-21 08:58:39,3059,2347,5437
2018-02-21 09:13:58,2989,2417,5437
2018-02-21 09:28:18,2954,2452,5437
2018-02-21 09:43:35,2986,2418,5437
2018-02-21 09:58:53,2956,2447,5437
2018-02-21 10:14:11,2928,2469,5437
2018-02-21 10:28:31,2938,2466,5437
2018-02-21 10:43:48,2942,2451,5437
2018-02-21 10:59:06,2938,2464,5437
2018-02-21 11:13:26,2956,2441,5437
2018-02-21 11:28:43,2942,2461,5437
2018-02-21 11:44:01,2998,2406,5437
2018-02-21 11:59:19,2995,2401,5437
2018-02-21 12:13:35,2979,2424,5437
2018-02-21 12:28:52,2996,2410,5437
2018-02-21 12:44:10,3000,2408,5437
2018-02-21 12:58:28,2998,2411,5437
2018-02-21 13:13:49,3023,2386,5437
2018-02-21 13:29:06,3000,2414,5437
2018-02-21 13:44:23,3031,2383,5437
2018-02-21 13:58:39,3021,2395,5437
2018-02-21 14:14:01,3164,2251,5437
2018-02-21 14:29:19,3103,2311,5437
2018-02-21 14:43:37,3103,2307,5437
2018-02-21 14:58:56,3077,2332,5437
2018-02-21 15:14:12,3078,2331,5437
2018-02-21 15:29:29,3031,2382,5437
2018-02-21 15:43:43,2989,2426,5437
2018-02-21 15:59:00,2969,2447,5437
2018-02-21 16:14:17,2962,2454,5437
2018-02-21 16:29:34,2955,2459,5437
2018-02-21 16:43:50,2969,2446,5437
2018-02-21 16:59:08,2987,2428,5437
2018-02-21 17:14:26,3023,2392,5437
2018-02-21 17:29:42,3001,2412,5437
2018-02-21 17:43:58,3045,2367,5437
2018-02-21 17:59:14,2994,2418,5437
2018-02-21 18:14:34,3028,2386,5437
2018-02-21 18:29:51,3013,2399,5437
2018-02-21 18:44:06,3002,2413,5437
2018-02-21 18:59:23,3004,2408,5437
2018-02-21 19:14:40,3055,2360,5437
2018-02-21 19:29:57,3037,2376,5437
2018-02-21 19:44:12,3039,2373,5437
2018-02-21 19:59:28,3009,2406,5437
2018-02-21 20:14:49,3047,2372,5437
2018-02-21 20:29:05,3003,2416,5437
2018-02-21 20:44:22,2981,2437,5437
2018-02-21 20:59:39,2976,2444,5437
2018-02-21 21:14:57,2968,2450,5437
2018-02-21 21:29:12,2940,2479,5437
2018-02-21 21:44:28,2946,2472,5437
2018-02-21 21:59:44,2897,2521,5437
2018-02-21 22:15:07,2911,2507,5437
2018-02-21 22:29:23,2877,2542,5437
2018-02-21 22:44:39,2866,2554,5437
2018-02-21 22:59:56,2867,2553,5437
2018-02-21 23:15:13,2863,2557,5437
2018-02-21 23:29:27,2861,2558,5437
2018-02-21 23:44:42,2850,2562,5437
2018-02-21 23:58:58,572,504,1086
2018-02-21 23:59:59,2276,2059,4351
2018-02-22 00:14:26,2854,2563,5437
2018-02-22 00:29:44,2834,2578,5437
2018-02-22 00:45:09,2845,2567,5437
2018-02-22 00:59:28,2840,2572,5437
2018-02-22 01:14:45,2832,2580,5437
2018-02-22 01:30:04,2836,2576,5437
2018-02-22 01:45:26,2827,2591,5437
2018-02-22 01:59:43,2833,2585,5437
2018-02-22 02:15:02,2829,2589,5437
2018-02-22 02:30:20,2828,2590,5437
2018-02-22 02:44:36,2823,2595,5437
2018-02-22 02:59:53,2828,2590,5437
2018-02-22 03:15:11,2822,2596,5437
2018-02-22 03:30:28,2822,2590,5437
2018-02-22 04:00:00,2823,2590,5437
2018-02-22 04:15:20,2826,2587,5437
2018-02-22 04:44:52,2823,2590,5437
2018-02-22 05:00:08,2826,2588,5437
2018-02-22 05:15:27,2831,2583,5437
2018-02-22 05:30:44,2832,2582,5437
2018-02-22 05:44:59,2827,2587,5437
2018-02-22 06:00:18,2823,2591,5437
2018-02-22 06:15:42,2835,2579,5437
2018-02-22 06:30:58,2866,2547,5437
2018-02-22 06:45:13,2875,2538,5437
2018-02-22 07:00:29,2845,2567,5437
2018-02-22 07:15:45,2863,2548,5437
2018-02-22 07:31:03,2895,2516,5437
2018-02-22 07:45:19,2995,2408,5437
2018-02-22 08:00:36,3012,2397,5437
2018-02-22 08:15:57,2954,2440,5437
2018-02-22 08:30:15,2965,2436,5437
2018-02-22 08:45:34,3020,2384,5437
2018-02-22 09:00:55,3035,2374,5437
2018-02-22 09:15:12,3005,2405,5437
2018-02-22 09:30:32,2978,2431,5437
2018-02-22 09:45:51,2985,2412,5437
2018-02-22 10:01:10,2932,2478,5437
2018-02-22 10:15:30,2920,2483,5437
2018-02-22 10:30:48,2917,2492,5437
2018-02-22 10:46:06,2953,2445,5437
2018-02-22 11:00:22,2959,2450,5437
2018-02-22 11:15:39,2940,2463,5437
2018-02-22 11:30:56,2943,2473,5437
2018-02-22 11:46:14,2967,2441,5437
2018-02-22 12:00:31,2986,2414,5437
2018-02-22 12:15:48,3008,2409,5437
2018-02-22 12:31:05,3010,2397,5437
2018-02-22 12:46:23,2966,2451,5437
2018-02-22 13:00:40,2961,2457,5437
2018-02-22 13:15:57,3022,2398,5437
2018-02-22 13:31:14,3005,2418,5437
2018-02-22 13:45:30,3048,2373,5437
2018-02-22 14:00:48,3037,2386,5437
2018-02-22 14:16:05,3146,2276,5437
2018-02-22 14:31:22,3075,2347,5437
2018-02-22 14:45:42,3078,2342,5437
2018-02-22 15:01:00,3071,2350,5437
2018-02-22 15:16:19,3090,2330,5437
2018-02-22 15:31:35,3050,2369,5437
2018-02-22 15:45:52,3015,2404,5437
2018-02-22 16:01:10,2978,2442,5437
2018-02-22 16:16:29,2977,2442,5437
2018-02-22 16:30:44,2972,2447,5437
2018-02-22 16:46:01,3015,2402,5437
2018-02-22 17:01:17,3006,2407,5437
2018-02-22 17:16:34,3051,2363,5437
2018-02-22 17:30:49,3050,2359,5437
2018-02-22 17:46:06,3029,2384,5437
2018-02-22 18:01:22,3007,2405,5437
2018-02-22 18:16:39,3071,2337,5437
2018-02-22 18:30:55,3015,2395,5437
2018-02-22 18:46:11,3054,2356,5437
2018-02-22 19:01:27,3019,2392,5437
2018-02-22 19:16:43,3108,2312,5437
2018-02-22 19:30:58,3076,2344,5437
2018-02-22 19:46:15,3039,2380,5437
2018-02-22 20:01:32,3016,2402,5437
